X,Y,Index_,event_unique_id,occurrence_year,Division,homicide_type,occurrence_date,Hood_ID,Neighbourhood,Lat,Long,ObjectId
-8830896.42382676,5421020.21085029,60,730003,2004,D54,Shooting,2004/12/20 05:00:00+00,44,Flemingdon Park (44),43.7122536,-79.3292923,60
-8820501.83279055,5424582.85725895,61,860547,2004,D42,Stabbing,2004/12/31 05:00:00+00,123,Cliffcrest (123),43.7353821,-79.2359161,61
-8820517.97411671,5433291.66558784,62,986698,2004,D42,Other,2004/07/12 04:00:00+00,132,Malvern (132),43.7918816,-79.2360611,62
-8847613.20496749,5421400.32419946,63,308782,2004,D31,Shooting,2004/05/22 04:00:00+00,29,Maple Leaf (29),43.7147217,-79.4794617,63
-8823766.54402484,5438767.7551246,64,879569,2005,D42,Stabbing,2005/01/14 05:00:00+00,130,Milliken (130),43.8273811,-79.2652435,64
-8841490.59957801,5413804.52237387,65,910043,2005,D14,Stabbing,2005/01/18 05:00:00+00,93,Dovercourt-Wallace Emerson-Junction (93),43.6653824,-79.4244614,65
-8839626.37659349,5410346.95828856,66,920738,2005,D14,Shooting,2005/01/21 05:00:00+00,82,Niagara (82),43.64291,-79.4077148,66
-8839626.37659349,5410346.95828856,67,920738,2005,D14,Shooting,2005/01/21 05:00:00+00,82,Niagara (82),43.64291,-79.4077148,67
-8825660.4893134,5429829.13757113,68,951634,2005,D33,Shooting,2005/02/11 05:00:00+00,126,Dorset Park (126),43.7694244,-79.2822571,68
-8844978.67337058,5414567.11030452,69,733656,2005,D12,Other,2005/02/11 05:00:00+00,91,Weston-Pellam Park (91),43.6703377,-79.4557953,69
-8859595.13401877,5427393.15580879,70,736672,2005,D23,Shooting,2005/02/12 05:00:00+00,2,Mount Olive-Silverstone-Jamestown (2),43.7536201,-79.5870972,70
-8825660.4893134,5429829.13757113,71,768554,2005,D41,Shooting,2005/02/15 05:00:00+00,126,Dorset Park (126),43.7694244,-79.2822571,71
-8835848.69401368,5414099.22075802,72,918414,2005,D51,Shooting,2005/02/15 05:00:00+00,74,North St.James Town (74),43.6672974,-79.3737793,72
-8848995.01380671,5405790.89880417,73,929672,2005,D22,Other,2005/02/18 05:00:00+00,17,Mimico (includes Humber Bay Shores) (17),43.6132851,-79.4918747,73
-8843894.12096763,5432372.23550917,74,969241,2005,D32,Shooting,2005/02/28 05:00:00+00,35,Westminster-Branson (35),43.7859192,-79.4460526,74
-8833903.79779418,5425446.25726262,75,953786,2005,D33,Shooting,2005/03/05 05:00:00+00,42,Banbury-Don Mills (42),43.7409859,-79.356308,75
-8849703.32859467,5407426.25979573,76,745939,2005,D22,Stabbing,2005/03/11 05:00:00+00,16,Stonegate-Queensway (16),43.6239204,-79.4982376,76
-8836471.22600204,5413265.05632623,77,758352,2005,D51,Shooting,2005/03/25 05:00:00+00,75,Church-Yonge Corridor (75),43.6618767,-79.3793716,77
-8825549.22548235,5416872.27748855,78,884190,2005,D41,Shooting,2005/04/13 04:00:00+00,122,Birchcliffe-Cliffside (122),43.6853142,-79.2812576,78
-8842778.98910056,5409465.60362681,79,1052948,2005,D11,Shooting,2005/04/18 04:00:00+00,85,South Parkdale (85),43.6371803,-79.4360352,79
-8836987.60372398,5410267.15190644,80,1006774,2005,D52,Other,2005/04/19 04:00:00+00,77,Waterfront Communities-The Island (77),43.6423912,-79.3840103,80
-8855797.90373637,5427057.48674191,81,739652,2005,D31,Shooting,2005/04/24 04:00:00+00,21,Humber Summit (21),43.751442,-79.5529861,81
-8825871.96295006,5435748.61183674,82,736140,2005,D42,Stabbing,2005/05/04 04:00:00+00,129,Agincourt North (129),43.8078117,-79.2841568,82
-8842704.24919444,5412958.64403719,83,739574,2005,D14,Shooting,2005/05/05 04:00:00+00,93,Dovercourt-Wallace Emerson-Junction (93),43.6598854,-79.4353638,83
-8851609.16280485,5427638.90888073,84,737037,2005,D31,Stabbing,2005/05/05 04:00:00+00,25,Glenfield-Jane Heights (25),43.7552147,-79.515358,84
-8832285.88031499,5415987.94508527,85,756176,2005,D54,Shooting,2005/05/08 04:00:00+00,66,Danforth (66),43.6795692,-79.341774,85
-8836723.47596818,5414110.9627213,86,1001532,2005,D51,Shooting,2005/05/14 04:00:00+00,75,Church-Yonge Corridor (75),43.6673737,-79.3816376,86
-8821137.96802068,5432092.83477083,87,863844,2005,D41,Shooting,2005/05/15 04:00:00+00,128,Agincourt South-Malvern West (128),43.7841072,-79.2416306,87
-8815730.46790812,5428093.96851329,88,988453,2005,D42,Shooting,2005/05/18 04:00:00+00,136,West Hill (136),43.7581673,-79.1930542,88
-8850977.27997926,5425244.05867779,89,781084,2005,D31,Stabbing,2005/05/27 04:00:00+00,25,Glenfield-Jane Heights (25),43.7396736,-79.5096817,89
-8827070.3284004,5417550.55394576,90,760646,2005,D55,Shooting,2005/06/12 04:00:00+00,62,East End-Danforth (62),43.6897202,-79.2949219,90
-8852334.46494711,5429420.45228704,91,1000509,2005,D31,Shooting,2005/06/24 04:00:00+00,24,Black Creek (24),43.7667732,-79.5218735,91
-8843334.42883182,5422233.4526289,92,834756,2005,D32,Stabbing,2005/06/25 04:00:00+00,32,Englemount-Lawrence (32),43.7201309,-79.4410248,92
-8843018.48185305,5413965.95129034,93,1086009,2005,D14,Shooting,2005/06/29 04:00:00+00,93,Dovercourt-Wallace Emerson-Junction (93),43.6664314,-79.4381866,93
-8857538.12794009,5426257.42275597,94,884293,2005,D23,Shooting,2005/07/06 04:00:00+00,3,Thistletown-Beaumond Heights (3),43.7462502,-79.5686188,94
-8824577.62896671,5418305.81475407,95,863854,2005,D41,Other,2005/07/17 04:00:00+00,121,Oakridge (121),43.6946259,-79.2725296,95
-8847996.23307141,5415870.51765265,96,1059962,2005,D12,Shooting,2005/07/19 04:00:00+00,111,Rockcliffe-Smythe (111),43.6788063,-79.4829025,96
-8830513.38459089,5425814.21058292,97,1070618,2005,D33,Other,2005/07/20 04:00:00+00,45,Parkwoods-Donalda (45),43.7433739,-79.3258514,97
-8815577.59285141,5429890.89206024,98,1150352,2005,D42,Other,2005/07/15 04:00:00+00,136,West Hill (136),43.769825,-79.1916809,98
-8843334.42883182,5422233.4526289,99,1135001,2005,D31,Shooting,2005/07/30 04:00:00+00,32,Englemount-Lawrence (32),43.7201309,-79.4410248,99
-8829390.61620675,5434046.44276141,100,1033503,2005,D42,Shooting,2005/07/30 04:00:00+00,117,L'Amoreaux (117),43.7967758,-79.3157654,100
-8837278.06967131,5411228.39701234,201,1787320,2006,D52,Shooting,2006/10/27 04:00:00+00,77,Waterfront Communities-The Island (77),43.6486397,-79.3866196,101
-8828185.46026747,5421595.38459315,202,1470621,2006,D54,Stabbing,2006/11/05 05:00:00+00,43,Victoria Village (43),43.7159882,-79.3049393,102
-8828185.46026747,5421595.38459315,203,1470621,2006,D54,Stabbing,2006/11/05 05:00:00+00,43,Victoria Village (43),43.7159882,-79.3049393,103
